,avg,lbound,ubound,sums
0,-44.768953046042235,-93.24360921993295,3.705703127848473,-8953.790609208447
1,-45.28883937752252,-93.815837809236,3.238159054190966,-9057.767875504504
2,-46.80303911477776,-95.91004599116573,2.3039677616102097,-9360.607822955551
3,-53.68374141701757,-103.40109041573017,-3.9663924183049772,-10736.748283403515
4,-37.128231774545014,-84.81073122854693,10.554267679456899,-7425.646354909002
5,-41.37419268414248,-90.78652187952835,8.038136511243387,-8274.838536828496
6,-44.11454555770027,-93.16013643678652,4.93104532138598,-8822.909111540053
7,-36.64450913386054,-84.17557697896814,10.88655871124707,-7328.901826772108
8,-59.127168510160075,-108.17431103409646,-10.080025986223689,-11825.433702032014
9,-46.78189507439963,-96.422925543109,2.859135394309746,-9356.379014879925
10,-52.60708914994174,-103.48432828764139,-1.7298500122420961,-10521.417829988348
11,-59.48548820159407,-107.69384563606617,-11.277130767121974,-11897.097640318814
12,-55.336634968559196,-105.25053765006392,-5.4227322870544725,-11067.326993711838
13,-54.47777469851593,-104.31637606364052,-4.639173333391334,-10895.554939703186
14,-48.93753590033947,-98.00649345517911,0.13142165450017984,-9787.507180067894
15,-53.44526188990555,-103.40904419443274,-3.4814795853783664,-10689.05237798111
16,-41.25892194618496,-90.23575188079033,7.717907988420414,-8251.784389236993
17,-56.542202342728636,-106.08707050675986,-6.997334178697422,-11308.440468545727
18,-33.84361733745098,-80.29365232175013,12.606417646848179,-6768.7234674901965
19,-50.594474614588286,-100.59809701149486,-0.5908522176817144,-10118.894922917658
20,-51.4757801967647,-101.49798006261466,-1.4535803309147397,-10295.15603935294
21,-40.06098933097435,-89.03052580200085,8.908547140052157,-8012.19786619487
22,-47.78979231385752,-96.59596675204321,1.0163821243281745,-9557.958462771503
23,-57.230457363312595,-106.28876394958881,-8.172150777036379,-11446.09147266252
24,-61.58328213733659,-109.63598875497368,-13.530575519699497,-12316.656427467318
25,-50.47095170736845,-101.60785043276191,0.6659470180250082,-10094.19034147369
26,-38.3882339670384,-86.00631464687194,9.229846712795144,-7677.64679340768
27,-63.767365610031064,-112.0885729208133,-15.446158299248815,-12753.473122006213
28,-50.529875897319336,-100.52567722487706,-0.5340745697616214,-10105.975179463867
29,-63.495434030910765,-111.13573576324724,-15.85513229857429,-12699.086806182153
30,-63.29942332487579,-111.21118433728998,-15.3876623124616,-12659.884664975158
31,-63.80061103932917,-111.12276223130532,-16.478459847353022,-12760.122207865834
32,-51.832969195299746,-100.98628653811741,-2.679651852482081,-10366.59383905995
33,-64.8574586425136,-112.76228168631468,-16.952635598712526,-12971.491728502722
34,-34.28337494741618,-80.94985483882022,12.38310494398786,-6856.674989483236
35,-37.07759578876036,-83.29264920144733,9.137457623926608,-7415.519157752072
36,-63.5025277545336,-111.66110249410373,-15.343953014963475,-12700.50555090672
37,-62.50312415986862,-109.45978541284248,-15.546462906894767,-12500.624831973724
38,-56.630117102913886,-106.59325778533346,-6.666976420494315,-11326.023420582776
39,-69.19237061540218,-115.7235952289218,-22.661146001882578,-13838.474123080436
40,-46.7431227312479,-96.40975023166862,2.9235047691728298,-9348.62454624958
41,-63.466005907602046,-111.67252416702725,-15.259487648176844,-12693.20118152041
42,-13.382688015772738,-46.24998644056516,19.484610409019687,-2676.5376031545475
43,-50.98038917440707,-99.52793065456565,-2.432847694248494,-10196.077834881415
44,-60.06069518569042,-108.99195738703867,-11.129432984342174,-12012.139037138084
45,-53.78440658076369,-103.88304496841062,-3.6857681931167576,-10756.881316152738
46,-47.812361350054445,-96.51602279255323,0.8913000924443324,-9562.472270010889
47,-45.00932399356617,-95.84234701960776,5.82369903247541,-9001.864798713234
48,-25.557487399301976,-66.31593092385327,15.200956125249327,-5111.497479860395
49,-54.38857400294406,-103.82843993071998,-4.948708075168149,-10877.714800588812
50,-63.79340764832371,-112.084635086768,-15.502180209879405,-12758.681529664742
51,-35.98757236461613,-83.5022240847645,11.527079355532251,-7197.514472923225
52,-40.98900637868302,-88.69479791957303,6.716785162206989,-8197.801275736605
53,-56.12105207641,-104.6491032314701,-7.593000921349905,-11224.210415282001
54,-49.971138112688095,-100.87202434510664,0.9297481197304478,-9994.227622537619
55,-58.99640817520636,-107.72695265655494,-10.265863693857774,-11799.281635041272
56,-61.95463873305093,-109.07083389417431,-14.838443571927534,-12390.927746610185
57,-55.17324281997515,-104.24040870444253,-6.106076935507772,-11034.64856399503
58,-55.62824236010511,-105.93063704018381,-5.325847680026413,-11125.648472021023
59,-54.01715338965948,-103.85747072895039,-4.176836050368564,-10803.430677931896
60,-28.29693318348364,-72.48257845136825,15.888712084400975,-5659.386636696729
61,-47.61787894680475,-95.9953527996563,0.7595949060468001,-9523.57578936095
62,-57.47689198431387,-106.95313096319285,-8.000653005434891,-11495.378396862774
63,-59.217961564194084,-107.66245267105705,-10.773470457331115,-11843.592312838817
64,-33.5859214609775,-80.24193257726913,13.070089655314113,-6717.1842921955
65,-56.27705340250866,-104.63510909978757,-7.918997705229749,-11255.410680501733
66,-67.23291147275319,-114.47461848483437,-19.991204460672,-13446.582294550637
67,-11.650382656961662,-43.54224316363137,20.24147784970804,-2330.0765313923325
68,-64.91887001028535,-112.75547375470018,-17.082266265870516,-12983.774002057069
69,-44.92769082391511,-93.79681906841441,3.9414374205841867,-8985.538164783022
70,-53.63967542144476,-101.92559910911825,-5.3537517337712615,-10727.93508428895
71,-56.58334767754288,-105.60449523377528,-7.562200121310482,-11316.669535508576
72,-53.015001979902415,-101.45715209324132,-4.572851866563511,-10603.000395980484
73,-53.29571064320855,-103.41352026681116,-3.1779010196059474,-10659.14212864171
74,-31.896367146219475,-76.02356250532046,12.230828212881498,-6379.273429243895
75,-56.09936597195386,-104.64950574311415,-7.549226200793569,-11219.873194390771
76,-69.34871429586615,-115.63307431813337,-23.064354273598916,-13869.74285917323
77,-59.34874839438837,-108.12274481116091,-10.57475197761584,-11869.749678877675
78,-10.161334270225444,-38.466270112489255,18.143601572038364,-2032.2668540450886
79,-44.85080868493486,-94.76757193872177,5.065954568852042,-8970.161736986973
80,-45.04550589258356,-94.77978683849553,4.688775053328399,-9009.101178516712
81,-7.483492490204161,-31.941873138507972,16.974888158099652,-1496.6984980408322
82,-24.261428690015478,-66.61286815502325,18.090010774992287,-4852.2857380030955
83,-46.20648347356875,-94.28366660941427,1.8706996622767704,-9241.29669471375
84,-44.934014808817885,-94.24564742679269,4.377617809156909,-8986.802961763577
85,-47.93235694534521,-97.97647245310087,2.1117585624104436,-9586.471389069042
86,-48.84471032963523,-99.02391207636484,1.334491417094391,-9768.942065927045
87,-55.600832891306524,-105.19597924551756,-6.005686537095485,-11120.166578261305
88,-46.57938739031227,-96.4057209553575,3.2469461747329547,-9315.877478062454
89,-0.2138423227429014,-1.971148532228392,1.5434638867425892,-42.76846454858028
90,-64.3218465741092,-110.89594083758305,-17.74775231063534,-12864.36931482184
91,-55.367488067860585,-105.23199834189904,-5.502977793822119,-11073.497613572117
92,-36.16302995622692,-83.0219569619511,10.695897049497269,-7232.605991245385
93,-58.81005522082212,-106.7359716726549,-10.884138768989345,-11762.011044164425
94,-0.07514915838460187,-1.4867712620512055,1.336472945282002,-15.029831676920374
95,-51.726566086847136,-101.04527407906411,-2.407858094630157,-10345.313217369427
96,-37.640951437668434,-85.97025483214378,10.688351956806905,-7528.190287533687
97,-45.62719657358219,-95.4036511770956,4.149258029931218,-9125.439314716437
98,-51.39476769803903,-100.98752622766304,-1.8020091684150188,-10278.953539607806
99,-60.015819787716474,-107.9898146947061,-12.041824880726857,-12003.163957543295
100,-53.18754467160953,-103.46986056121983,-2.9052287819992344,-10637.508934321906
101,-49.444688894800244,-97.56952603742319,-1.3198517521772999,-9888.93777896005
102,-36.17872494317882,-82.03716490862661,9.679715022268972,-7235.7449886357645
103,-34.795079965233356,-82.68155835052505,13.091398420058347,-6959.015993046672
104,-53.96650787315761,-101.91030748234184,-6.022708263973385,-10793.301574631521
105,-22.227598891703778,-62.36249236796213,17.907294584554577,-4445.519778340756
106,-46.65969562865138,-96.40805506719083,3.088663809888075,-9331.939125730276
107,-54.67385396736488,-103.78987327604729,-5.5578346586824665,-10934.770793472975
108,-43.68451481768105,-92.63424450855383,5.265214873191738,-8736.90296353621
109,-33.38691295194421,-80.14628836431004,13.372462460421623,-6677.382590388842
110,-39.56230489995344,-86.90328424796101,7.778674448054126,-7912.4609799906875
111,-28.07452764579426,-71.30740146817935,15.158346176590836,-5614.905529158852
112,-59.32327364516221,-107.14162957729758,-11.504917713026849,-11864.654729032442
113,-57.63919189876889,-105.95343110713542,-9.32495269040237,-11527.838379753779
114,-56.785105776512324,-104.59299803051185,-8.977213522512798,-11357.021155302466
115,-56.02330593949389,-105.14081388692284,-6.905797992064926,-11204.661187898777
116,-36.499831101430196,-83.20578800714617,10.206125804285783,-7299.966220286039
117,-39.05281960949754,-87.28481118597423,9.179171966979155,-7810.5639218995075
118,-39.52794236419202,-88.4195002856477,9.36361555726365,-7905.588472838404
119,-49.913121521607465,-98.54563820366593,-1.2806048395489924,-9982.624304321493
120,-54.32454991901494,-103.83558309672063,-4.81351674130925,-10864.909983802989
121,-49.098081202795676,-97.54812412513087,-0.6480382804604901,-9819.616240559135
122,-41.240959323931996,-90.25290367786967,7.770985030005676,-8248.191864786399
123,-52.38693633052319,-101.47088731287279,-3.3029853481735927,-10477.387266104639
124,-54.387652794950526,-102.84760976131663,-5.927695828584419,-10877.530558990105
125,-55.02098305727614,-104.77265820016689,-5.269307914385394,-11004.196611455229
126,-53.056397690773736,-102.61781528876791,-3.4949800927795565,-10611.279538154748
127,-22.946975528215315,-62.16110134229885,16.267150285868222,-4589.395105643063
128,-67.10232589275235,-113.47614856131045,-20.72850322419424,-13420.465178550468
129,-49.81505769515241,-100.1850368990322,0.5549215087273751,-9963.011539030482
130,-41.97608248626696,-89.39514121104702,5.442976238513097,-8395.216497253392
131,-45.94828524629446,-93.90440327221297,2.007832779624053,-9189.657049258893
132,-31.426619716906977,-77.65234172760583,14.799102293791876,-6285.323943381395
133,-64.5354016740986,-111.33456388956935,-17.736239458627843,-12907.080334819719
134,-60.42687187269437,-109.44429219946664,-11.409451545922103,-12085.374374538875
135,-34.67041695939329,-80.06909590284582,10.728261984059237,-6934.083391878658
136,-33.44610121139773,-79.16064777639622,12.268445353600754,-6689.220242279546
137,-55.111533512830526,-103.75926552246963,-6.463801503191419,-11022.306702566106
138,-59.90977370279191,-107.06578189001002,-12.753765515573797,-11981.954740558382
139,-63.79665205373935,-112.08285865927466,-15.510445448204038,-12759.33041074787
140,-34.655782890769345,-80.9758778776046,11.66431209606592,-6931.156578153869
141,-41.99966869860451,-89.39003881189285,5.390701414683832,-8399.933739720902
142,-37.07401688310867,-84.28604739257636,10.138013626359019,-7414.803376621734
143,-50.992769836047174,-100.49826876398811,-1.4872709081062467,-10198.553967209435
144,-2.0164751334513733,-4.2374564822659,0.20450621536315383,-403.29502669027465
145,-47.08958679531701,-94.98278392744324,0.8036103368092142,-9417.917359063402
146,-62.87708701239766,-109.3382738500657,-16.415900174729614,-12575.417402479532
147,-54.60989884674753,-103.31025972902889,-5.909537964466168,-10921.979769349506
148,-32.80031941281478,-78.39332225379219,12.792683428162633,-6560.063882562956
149,-22.26202977705334,-62.52516653221204,18.00110697810536,-4452.405955410668
150,-45.559242915666616,-94.81160462224472,3.693118790911484,-9111.848583133324
151,-56.642771490194775,-105.07679228796549,-8.208750692424061,-11328.554298038955
152,-49.89026158843571,-98.5402029946462,-1.2403201822252328,-9978.052317687143
153,-37.31037591760534,-85.37166007954337,10.750908244332685,-7462.0751835210685
154,-45.13030209792239,-94.3618153254996,4.101211129654828,-9026.060419584477
155,-11.09451961824979,-39.15982196968434,16.970782733184762,-2218.903923649958
156,-57.5101495787621,-106.95401503579144,-8.066284121732764,-11502.02991575242
157,-25.267294719487044,-67.35525696804442,16.82066752907033,-5053.458943897409
158,-2.0525925017658864,-4.355162785224785,0.249977781693012,-410.5185003531773
159,-61.23329806687324,-108.73198059570657,-13.734615538039911,-12246.659613374648
160,-43.22445657589852,-92.56983875833285,6.120925606535799,-8644.891315179704
161,-50.842611058480955,-99.06463656882907,-2.620585548132837,-10168.52221169619
162,-59.987265682682654,-108.02465616775287,-11.949875197612442,-11997.453136536531
163,-12.983391513021168,-47.055763333685164,21.088980307642828,-2596.6783026042335
164,-27.819921530892742,-70.65658146536374,15.016738403578259,-5563.984306178549
165,-23.271355258872116,-65.05187342306938,18.509162905325145,-4654.2710517744235
166,-64.93241358709878,-112.74831722383189,-17.11650995036566,-12986.482717419756
167,-25.695080971902488,-69.19902094132418,17.8088589975192,-5139.016194380498
168,-62.528130695719135,-110.39726555854334,-14.65899583289493,-12505.626139143827
169,-42.471537337920964,-91.43605077860606,6.492976102764132,-8494.307467584193
170,-54.66487987735761,-104.29389957890767,-5.0358601758075565,-10932.975975471523
171,-41.15267838354802,-89.72674684849201,7.421390081395963,-8230.535676709604
172,-56.898215820970535,-105.53288787170257,-8.263543770238492,-11379.643164194107
173,-59.88479267947313,-107.5331344589921,-12.236450899954164,-11976.958535894626
174,-60.68596905954275,-109.87822860765766,-11.49370951142783,-12137.19381190855
175,-42.88706370748604,-92.51098092604737,6.736853511075282,-8577.412741497208
176,-48.11694316373313,-97.59258861919838,1.358702291732122,-9623.388632746626
177,-46.049319429475716,-93.92206543319838,1.8234265742469447,-9209.863885895144
178,-58.28684420535608,-106.3310538575378,-10.242634553174362,-11657.368841071217
179,-52.151472879926615,-101.66215049552137,-2.6407952643318566,-10430.294575985323
180,-40.454640760835474,-88.12463946174546,7.215357940074512,-8090.9281521670955
181,-48.93277030959334,-97.29010337949595,-0.5754372396907286,-9786.554061918667
182,-39.21665369166226,-85.85239777768413,7.419090394359607,-7843.330738332452
183,-49.71741845554629,-98.90356341906048,-0.5312734920320992,-9943.483691109257
184,-59.89825456924502,-108.05068373520746,-11.74582540328258,-11979.650913849004
185,-48.275254196319295,-97.9773622330463,1.4268538404077162,-9655.050839263859
186,-59.00853708182882,-107.2039231228828,-10.81315104077484,-11801.707416365763
187,-52.104452673515674,-101.12045501760622,-3.088450329425136,-10420.890534703134
188,-22.6446952061932,-64.35394770819258,19.06455729580617,-4528.93904123864
189,-66.78762557372563,-113.59776879897586,-19.977482348475405,-13357.525114745127
190,-55.52651075371188,-104.84590255020765,-6.20711895721611,-11105.302150742376
191,-50.02471855853914,-98.54874651151525,-1.5006906055630438,-10004.943711707829
192,-48.690104557521515,-97.99847353695463,0.6182644219116042,-9738.020911504304
193,-43.16970550375862,-91.54091652362763,5.20150551611038,-8633.941100751725
194,-51.384826284738445,-101.50784577311467,-1.2618067963622295,-10276.96525694769
195,-43.82924022601723,-91.65555108582802,3.9970706337935624,-8765.848045203446
196,-60.415227846765845,-108.91290714505513,-11.91754854847656,-12083.04556935317
197,-23.66609001991109,-64.82362490290174,17.491444863079558,-4733.218003982218
198,-54.49679783039212,-103.40432023965072,-5.589275421133522,-10899.359566078423
199,-53.30532970397179,-103.4200301377343,-3.1906292702092784,-10661.065940794359
200,-53.40799021944563,-102.41711070093967,-4.398869737951593,-10681.598043889126
201,-56.052083994060986,-104.6500138250758,-7.454154163046169,-11210.416798812197
202,-57.39851295184908,-105.47613587763696,-9.320890026061193,-11479.702590369816
203,-40.30385463095488,-87.57565852188785,6.967949259978077,-8060.770926190976
204,-39.44719335557812,-87.38162990566445,8.48724319450821,-7889.438671115625
205,-1.1558147911126926,-11.221105381710586,8.9094757994852,-231.16295822253852
206,-54.44843343708174,-103.80724824588218,-5.0896186282813005,-10889.686687416348
207,-53.16459074093943,-101.45862713574859,-4.870554346130277,-10632.918148187886
208,-55.190172145959004,-103.75696949190169,-6.623374800016315,-11038.0344291918
209,-56.339723553114354,-105.15498373949228,-7.524463366736427,-11267.94471062287
