,losses
0,1.2506138e-07
1,-0.0004968882
2,-0.0009947858
3,-0.0014898484
4,-0.0019352089
5,-0.0022610875
6,-0.002598493
7,-0.0029243426
8,-0.003209283
9,-0.003485863
10,3.0214136e-07
11,-7.9013866e-05
12,-0.00036344182
13,-0.00078532466
14,-0.0013079016
15,-0.0019069633
16,-0.0025536772
17,-0.0031467227
18,-0.00333622
19,-0.0034105894
20,3.4245576e-07
21,-0.0002912747
22,-0.00074568443
23,-0.0013265524
24,-0.0020133648
25,-0.0024760459
26,-0.0023757976
27,-0.0020746815
28,-0.0021491498
29,-0.0026185596
30,2.3386696e-07
31,3.2251748e-05
32,-3.8155642e-05
33,-0.00019104134
34,-0.0004146797
35,-0.0006974528
36,-0.0010317579
37,-0.0013629535
38,-0.0015648608
39,-0.0017403015
40,3.3988194e-08
41,-2.4516921e-05
42,-0.00025362152
43,-0.0006499718
44,-0.0011891333
45,-0.0018515511
46,-0.00261998
47,-0.0034472141
48,-0.004252417
49,-0.005023688
50,3.214316e-07
51,2.4937717e-05
52,-4.1487e-06
53,-7.994305e-05
54,-0.00019750812
55,-0.0003522639
56,-0.00053809944
57,-0.00069640984
58,-0.0008643493
59,-0.0010225237
60,-1.0685487e-07
61,-3.03897e-05
62,-0.00013098218
63,-0.0002921061
64,-0.00050561404
65,-0.00076419767
66,-0.0010632088
67,-0.0013966673
68,-0.0016853065
69,-0.0018809442
70,5.5681573e-07
71,1.1532306e-05
72,-4.6350524e-05
73,-0.00016446189
74,-0.00033450342
75,-0.0005484814
76,-0.00080097414
77,-0.0010878891
78,-0.0013864429
79,-0.0016297199
80,-3.1904742e-07
81,-3.8701837e-05
82,-0.00012853362
83,-0.00026253005
84,-0.0004354672
85,-0.00063956715
86,-0.00082441245
87,-0.0008741318
88,-0.0008597268
89,-0.0008062835
90,2.3278324e-07
91,-7.6862896e-05
92,-0.0004716637
93,-0.0011400196
94,-0.0020515255
95,-0.0030372061
96,-0.0032607678
97,-0.0028832883
98,-0.0026319725
99,-0.0030469855
100,1.6060743e-07
101,-0.0002584024
102,-0.000649208
103,-0.0011558323
104,-0.0016839112
105,-0.0021975653
106,-0.002511337
107,-0.002595071
108,-0.0026391863
109,-0.0028117574
110,3.073432e-07
111,-0.00014596093
112,-0.00046509504
113,-0.0009369035
114,-0.0015410599
115,-0.0022236386
116,-0.0028676442
117,-0.003483053
118,-0.0038997408
119,-0.0040616225
120,-4.2070042e-07
121,-0.001064009
122,-0.002425851
123,-0.0038545968
124,-0.0040399283
125,-0.003040977
126,-0.002354344
127,-0.002528965
128,-0.003450894
129,-0.0044945427
130,-1.4305115e-07
131,-0.0011640046
132,-0.0024867046
133,-0.0035087091
134,-0.0031335063
135,-0.0019707112
136,-0.0012303023
137,-0.0013826885
138,-0.0022502986
139,-0.0032677324
140,-4.560297e-07
141,0.00025090738
142,0.00026708515
143,7.696975e-05
144,-0.00029244597
145,-0.00080539315
146,-0.0014516219
147,-0.0021419474
148,-0.0027328492
149,-0.0029174003
150,2.2107905e-07
151,-0.00011600581
152,-0.00023899013
153,-0.00036715725
154,-0.0004652587
155,-0.0004901277
156,-0.00037846825
157,-0.0002505129
158,-0.00021615917
159,-0.00035709163
160,-3.8797205e-07
161,-0.00022749034
162,-0.00056006433
163,-0.0009857499
164,-0.0014988946
165,-0.0020896473
166,-0.0026232265
167,-0.0029839962
168,-0.0029989416
169,-0.0028729972
170,6.198883e-08
171,-7.27582e-05
172,-0.00016133265
173,-0.0002641357
174,-0.00037917765
175,-0.0005052647
176,-0.0006401261
177,-0.00078319374
