,losses
318,-0.0031662858
319,-0.0032738124
320,7.455999e-08
321,-0.00017331535
322,-0.00043513798
323,-0.0007713778
324,-0.0011730487
325,-0.0016319708
326,-0.0021334938
327,-0.0026393924
328,-0.003151003
329,-0.0036153928
330,-5.635348e-09
331,-0.00017862016
332,-0.00046975396
333,-0.0008383972
334,-0.0012398352
335,-0.0016279602
336,-0.0020696723
337,-0.0025579506
338,-0.0030094897
339,-0.0033875268
340,9.753487e-09
341,-2.9770028e-05
342,-0.00035577948
343,-0.00070790475
344,-0.0009229235
345,-0.0010766991
346,-0.0012009587
347,-0.0013143884
348,-0.0014260333
349,-0.0015365343
350,-8.4746965e-08
351,-0.00015718893
352,-0.00046793462
353,-0.00091982505
354,-0.0014874801
355,-0.0020794668
356,-0.0026454455
357,-0.0030299178
358,-0.0030941681
359,-0.0030577767
360,-8.886511e-08
361,-0.00017265277
362,-0.00048942264
363,-0.0009295195
364,-0.0014775582
365,-0.0021186655
366,-0.002847733
367,-0.003521648
368,-0.004019113
369,-0.0043743383
370,9.623441e-08
371,-8.2406346e-05
372,-0.00048385316
373,-0.0009834385
374,-0.0015180996
375,-0.0021361357
376,-0.0027843218
377,-0.0034940129
378,-0.0041918415
379,-0.004953321
380,-1.3936649e-07
381,-0.00017774994
382,-0.0004545578
383,-0.00082170597
384,-0.0012402786
385,-0.0016674686
386,-0.002047941
387,-0.0023263649
388,-0.0025501512
389,-0.0027500608
390,1.241944e-07
391,-0.00020229231
392,-0.00053475023
393,-0.0009806904
394,-0.001522911
395,-0.0021152722
396,-0.0026662962
397,-0.0031039384
398,-0.0032613187
399,-0.0032693474
400,-4.898418e-08
401,-9.653937e-05
402,-0.00028519664
403,-0.00055987935
404,-0.0009024168
405,-0.0012846265
406,-0.001694781
407,-0.0020648483
408,-0.0024194003
409,-0.0027979016
410,-8.745627e-08
411,-0.00011640007
412,-0.00031240398
413,-0.0005780916
414,-0.00090388296
415,-0.0012849775
416,-0.0017149653
417,-0.0021897983
418,-0.0027061186
419,-0.0032069795
420,-8.106232e-08
421,2.6425448e-06
422,-0.00020205324
423,-0.00059313094
424,-0.0011446424
425,-0.0018038654
426,-0.002562674
427,-0.003418864
428,-0.004348078
429,-0.0052074217
430,-6.513162e-08
431,-8.273981e-05
432,-0.00022785891
433,-0.0004285521
434,-0.00067984493
435,-0.00092572416
436,-0.001087811
437,-0.0012423327
438,-0.0013632341
439,-0.0014475384
440,-5.74372e-08
441,-0.0003408302
442,-0.0007572076
443,-0.0012381617
444,-0.0017685551
445,-0.0023362185
446,-0.002893896
447,-0.0033579054
448,-0.0035650188
449,-0.0035543966
450,-3.381209e-08
451,-0.00010798823
452,-0.00030735234
453,-0.0005841229
454,-0.00092736
455,-0.0013236072
456,-0.0017638238
457,-0.0022183063
458,-0.0026469254
459,-0.0029721977
460,-1.1920929e-08
461,-0.00046046104
462,-0.0011269985
463,-0.0018457551
464,-0.0024736768
465,-0.002782768
466,-0.0027778686
467,-0.0027403333
468,-0.0028041406
469,-0.003058415
470,-1.4153393e-07
471,-0.00021430275
472,-0.00048074094
473,-0.0007439986
474,-0.00095955393
475,-0.0011814907
476,-0.0014385214
477,-0.0016908307
478,-0.0019079557
479,-0.0021069655
480,6.003813e-08
481,-0.00026524306
482,-0.00064636534
483,-0.0011334795
484,-0.0017169245
485,-0.0023437757
486,-0.0028000807
487,-0.0030714786
488,-0.0031232855
489,-0.003111447
490,-5.0284644e-08
491,-0.0002776846
492,-0.00069097464
493,-0.0012305788
494,-0.0018469862
495,-0.0023998497
496,-0.0027184545
497,-0.0028372002
498,-0.0028965997
499,-0.0029963471
500,-8.669766e-09
501,-0.00010076003
502,-0.00026092064
503,-0.00047185138
504,-0.0007304782
505,-0.0010321437
506,-0.0013733399
507,-0.0017495935
508,-0.0021528166
509,-0.0025729467
510,-3.2078137e-08
511,-0.00023530288
512,-0.0006624653
513,-0.001035971
514,-0.0012058857
515,-0.0011205764
516,-0.0010919619
517,-0.0012657018
518,-0.0017112864
519,-0.0022528945
520,-2.026558e-08
521,-0.00014482401
522,-0.00055739307
523,-0.0012015322
524,-0.0019895185
525,-0.002665765
526,-0.002987097
527,-0.0031222266
528,-0.0030186905
529,-0.0029249399
530,8.864836e-08
531,-0.00013332324
532,-0.00037905
533,-0.00072157686
534,-0.0011531359
535,-0.0016068479
536,-0.0020103706
537,-0.0023681496
538,-0.0027042443
539,-0.0028740088
540,1.9506974e-09
541,-0.00012999069
542,-0.00045414513
543,-0.0009244864
544,-0.0014569124
