,losses
455,10380.44
456,10360.147
457,10339.066
458,10317.286
459,10294.882
460,117535.02
461,117534.0
462,117531.84
463,117528.75
464,117524.79
465,117520.05
466,117514.63
467,117508.57
468,117501.945
469,117494.82
470,8385.921
471,8378.233
472,8369.239
473,8359.072
474,8347.855
475,8335.696
476,8322.698
477,8308.951
478,8294.533
479,8279.523
480,431870.25
481,431870.53
482,431861.4
483,431844.34
484,431820.34
485,431790.28
486,431754.9
487,431714.97
488,431670.94
489,431623.25
490,10193.414
491,10200.137
492,10203.157
493,10202.839
494,10199.507
495,10193.462
496,10184.977
497,10174.299
498,10161.653
499,10147.249
500,10495.615
501,10477.537
502,10458.2295
503,10437.819
504,10416.437
505,10394.192
506,10371.1875
507,10347.512
508,10323.248
509,10298.471
510,9876.216
511,9851.546
512,9826.494
513,9801.116
514,9775.458
515,9749.562
516,9723.468
517,9697.212
518,9670.823
519,9644.333
520,11075.793
521,11046.011
522,11015.882
523,10985.454
524,10954.782
525,10923.909
526,10892.877
527,10861.72
528,10830.473
529,10799.163
530,1031134.75
531,1031165.9
532,1031173.8
533,1031161.94
534,1031132.2
535,1031086.9
536,1031028.0
537,1030956.94
538,1030875.25
539,1030783.75
540,11615.056
541,11639.967
542,11658.671
543,11671.749
544,11679.731
545,11683.106
546,11682.324
547,11677.794
548,11669.893
549,11658.964
550,9797.228
551,9783.448
552,9768.412
553,9752.255
554,9735.099
555,9717.054
556,9698.22
557,9678.69
558,9658.544
559,9637.8545
560,10247.363
561,10224.44
562,10200.925
563,10176.888
564,10152.397
565,10127.517
566,10102.299
567,10076.792
568,10051.042
569,10025.087
570,8421.217
571,8399.027
572,8377.033
573,8355.224
574,8333.591
575,8312.126
576,8290.822
577,8269.67
578,8248.668
579,8227.807
580,190472.6
581,190480.11
582,190484.84
583,190487.19
584,190487.31
585,190485.47
586,190481.88
587,190476.66
588,190470.05
589,190462.11
590,7667.7373
591,7664.031
592,7658.7783
593,7652.137
594,7644.249
595,7635.2446
596,7625.237
597,7614.3354
598,7602.634
599,7590.2183
600,1101504.8
601,1101513.4
602,1101495.8
603,1101454.8
604,1101393.5
605,1101314.2
606,1101219.4
607,1101110.8
608,1100989.8
609,1100858.1
610,633761.25
611,633680.4
612,633597.75
613,633513.6
614,633428.2
615,633341.5
616,633253.7
617,633164.8
618,633075.1
619,632984.8
620,7973.7646
621,8001.5273
622,8024.7183
623,8043.7466
624,8058.9927
625,8070.8047
626,8079.5054
627,8085.387
628,8088.7227
629,8089.7573
630,10600.732
631,10597.027
632,10590.818
633,10582.359
634,10571.88
635,10559.591
636,10545.681
637,10530.32
638,10513.666
639,10495.86
640,7908.26
641,7892.2666
642,7875.849
643,7859.058
644,7841.939
645,7824.5347
646,7806.883
647,7789.017
648,7770.97
649,7752.769
650,986004.25
651,986025.7
652,986021.25
653,985993.75
654,985945.94
655,985880.0
656,985797.8
657,985701.1
658,985591.6
659,985470.8
660,8158.688
661,8183.8647
662,8204.636
663,8221.397
664,8234.518
665,8244.333
666,8251.154
667,8255.267
668,8256.931
669,8256.385
670,7853.635
671,7848.329
672,7841.7666
673,7834.0737
674,7825.37
675,7815.76
676,7805.34
677,7794.1943
678,7782.403
679,7770.0356
680,9086.072
681,9073.455
682,9060.479
683,9047.18
684,9033.6
685,9019.774
686,9005.731
687,8991.503
688,8977.112
689,8962.584
690,8402.517
691,8385.865
692,8368.932
693,8351.748
694,8334.351
695,8316.77
696,8299.029
697,8281.158
698,8263.175
699,8245.1
700,8423.281
701,8404.758
702,8386.151
703,8367.482
704,8348.762
705,8330.005
706,8311.226
707,8292.435
708,8273.641
709,8254.856
710,8778.454
711,8758.688
712,8738.86
713,8718.985
714,8699.077
715,8679.151
716,8659.218
717,8639.288
718,8619.367
719,8599.467
720,7949.831
721,7931.1064
722,7912.5
723,7894.0093
724,7875.629
725,7857.359
726,7839.192
727,7821.1265
728,7803.1616
729,7785.293
730,7604.5713
731,7587.18
732,7569.8643
733,7552.623
734,7535.457
735,7518.366
736,7501.352
737,7484.411
738,7467.544
739,7450.7495
740,7547.523
741,7531.3647
742,7515.2856
743,7499.282
744,7483.3535
745,7467.4985
746,7451.7173
747,7436.0083
748,7420.3716
749,7404.805
750,8470.132
751,8452.176
752,8434.052
753,8415.787
754,8397.404
755,8378.926
756,8360.369
757,8341.75
758,8323.085
759,8304.388
760,7376.168
761,7358.9917
762,7341.913
763,7324.931
764,7308.042
765,7291.242
766,7274.5317
767,7257.9087
768,7241.3706
769,7224.9155
770,7100.26
771,7085.0547
772,7069.9644
773,7054.9834
774,7040.1064
775,7025.328
776,7010.645
777,6996.051
778,6981.544
779,6967.1206
780,7091.889
781,7077.6914
782,7063.568
783,7049.5137
784,7035.53
785,7021.613
786,7007.7627
787,6993.975
788,6980.251
789,6966.588
790,7385.68
791,7371.2417
792,7356.7197
793,7342.1265
794,7327.4795
795,7312.789
796,7298.0674
797,7283.3223
798,7268.5635
799,7253.7993
800,6649.2334
801,6635.957
802,6622.7466
803,6609.5967
804,6596.5073
805,6583.4766
806,6570.5054
807,6557.59
808,6544.732
809,6531.9287
810,5936.5
811,5924.4834
812,5912.5576
813,5900.7188
814,5888.964
815,5877.2856
816,5865.682
817,5854.1504
818,5842.6846
819,5831.284
820,6897.016
821,6884.6963
822,6872.2993
823,6859.8354
824,6847.318
825,6834.7563
826,6822.161
827,6809.541
828,6796.9023
829,6784.253
830,6675.9653
831,6663.615
832,6651.2954
833,6639.0054
834,6626.7476
835,6614.5244
836,6602.335
837,6590.1816
838,6578.065
839,6565.986
840,6802.157
841,6789.556
842,6776.917
843,6764.247
844,6751.5537
845,6738.847
846,6726.132
847,6713.4155
848,6700.7017
849,6687.9976
850,7444.601
851,7430.425
852,7416.0967
853,7401.6406
854,7387.076
855,7372.421
856,7357.6904
857,7342.898
858,7328.058
859,7313.1816
860,6387.1333
861,6374.27
862,6361.537
863,6348.929
864,6336.4336
865,6324.0474
866,6311.7627
867,6299.5728
868,6287.474
869,6275.461
870,6465.4414
871,6453.555
872,6441.7046
873,6429.8896
874,6418.11
875,6406.3677
876,6394.663
877,6382.996
878,6371.3677
879,6359.7783
880,6599.9536
881,6588.4795
882,6577.043
883,6565.647
884,6554.2896
885,6542.971
886,6531.6934
887,6520.454
888,6509.254
889,6498.0933
890,4985.52
891,4976.2114
892,4967.037
893,4957.986
894,4949.0474
895,4940.214
896,4931.475
897,4922.8257
898,4914.26
899,4905.7705
900,5240.6113
901,5231.764
902,5222.9307
903,5214.1133
904,5205.312
905,5196.5283
906,5187.764
907,5179.02
908,5170.296
909,5161.595
910,492824.38
911,492831.88
912,492831.2
913,492823.28
914,492808.84
915,492788.53
916,492762.94
917,492732.56
918,492697.84
919,492659.3
920,5337.469
921,5343.825
922,5348.741
923,5352.354
924,5354.788
925,5356.1587
926,5356.5674
927,5356.1084
928,5354.868
929,5352.924
930,6243.7515
931,6240.4585
932,6236.4507
933,6231.8003
934,6226.5728
935,6220.8286
936,6214.6216
937,6208.0
938,6201.0083
939,6193.6875
940,5354.47
941,5347.239
942,5339.856
943,5332.3403
944,5324.709
945,5316.9756
946,5309.153
947,5301.252
948,5293.284
949,5285.2583
950,5262.463
951,5254.9966
952,5247.459
953,5239.8604
954,5232.21
955,5224.5146
956,5216.782
957,5209.0205
958,5201.233
959,5193.427
960,5019.5957
961,5012.401
962,5005.229
963,4998.0796
964,4990.952
965,4983.8467
966,4976.7637
967,4969.7017
968,4962.661
969,4955.6416
970,5166.0566
971,5158.7144
972,5151.363
973,5144.004
974,5136.641
975,5129.2773
976,5121.9146
977,5114.554
978,5107.199
979,5099.851
980,5043.031
981,5035.902
982,5028.7993
983,5021.7197
984,5014.6665
985,5007.636
986,5000.63
987,4993.6465
988,4986.6855
989,4979.7466
990,5083.871
991,5076.9487
992,5070.043
993,5063.1533
994,5056.28
995,5049.4233
996,5042.5835
997,5035.7607
998,5028.955
999,5022.167
1000,4985.7705
1001,4979.1416
1002,4972.5127
1003,4965.8853
1004,4959.2617
1005,4952.6436
1006,4946.0317
1007,4939.427
1008,4932.8306
1009,4926.2437
1010,4058.1536
1011,4052.4814
1012,4046.8455
1013,4041.2458
1014,4035.6787
1015,4030.1423
1016,4024.6355
1017,4019.1567
1018,4013.7046
1019,4008.2778
1020,4920.5073
1021,4914.374
1022,4908.1987
1023,4901.9873
1024,4895.747
1025,4889.4805
1026,4883.1943
1027,4876.89
1028,4870.572
1029,4864.244
1030,4497.1763
1031,4491.227
1032,4485.2954
1033,4479.3794
1034,4473.4805
1035,4467.5967
1036,4461.73
1037,4455.88
1038,4450.0454
1039,4444.227
1040,4445.9233
1041,4440.398
1042,4434.8916
1043,4429.404
1044,4423.933
1045,4418.48
1046,4413.0435
1047,4407.6245
1048,4402.2207
1049,4396.834
1050,5026.6753
1051,5020.7026
1052,5014.6934
1053,5008.6533
1054,5002.5874
1055,4996.4995
1056,4990.3936
1057,4984.273
1058,4978.1416
1059,4972.002
1060,4856.2305
1061,4850.1875
1062,4844.1274
1063,4838.0537
1064,4831.97
1065,4825.8784
1066,4819.7817
1067,4813.682
1068,4807.582
1069,4801.4824
1070,4330.7456
1071,4325.2734
1072,4319.849
1073,4314.469
1074,4309.13
1075,4303.8296
1076,4298.5645
1077,4293.333
1078,4288.133
1079,4282.961
1080,4577.4883
1081,4572.1035
1082,4566.7227
1083,4561.346
1084,4555.9746
1085,4550.609
1086,4545.249
1087,4539.8975
1088,4534.5537
1089,4529.2173
1090,4295.101
1091,4289.9404
1092,4284.798
1093,4279.6724
1094,4274.563
1095,4269.4707
1096,4264.393
1097,4259.3325
1098,4254.2866
1099,4249.2563
1100,4220.6567
1101,4215.684
1102,4210.7256
1103,4205.78
1104,4200.849
1105,4195.931
1106,4191.0264
1107,4186.1353
1108,4181.2573
1109,4176.3916
1110,3644.5374
1111,3640.0608
1112,3635.579
1113,3631.0938
1114,3626.6062
1115,3622.118
1116,3617.6313
1117,3613.1465
1118,3608.665
1119,3604.1873
1120,4867.231
1121,4862.293
1122,4857.272
1123,4852.176
1124,4847.015
1125,4841.797
1126,4836.53
1127,4831.219
1128,4825.871
1129,4820.4907
1130,4483.88
1131,4478.4478
1132,4472.996
1133,4467.5283
1134,4462.0493
1135,4456.5605
1136,4451.0654
1137,4445.565
1138,4440.0625
1139,4434.56
1140,3802.4214
1141,3797.4478
1142,3792.5115
1143,3787.6091
1144,3782.7388
1145,3777.8987
1146,3773.0872
1147,3768.3015
1148,3763.5413
1149,3758.8052
1150,4457.565
1151,4452.3975
1152,4447.2017
1153,4441.983
1154,4436.745
1155,4431.49
1156,4426.2227
1157,4420.945
1158,4415.6587
1159,4410.367
1160,4487.518
1161,4482.5303
1162,4477.555
1163,4472.5923
1164,4467.641
1165,4462.702
1166,4457.7744
1167,4452.8594
1168,4447.9565
1169,4443.0654
1170,3641.856
1171,3637.5164
1172,3633.224
1173,3628.975
1174,3624.7654
1175,3620.5928
1176,3616.4543
1177,3612.347
1178,3608.2688
1179,3604.218
1180,4075.7417
1181,4071.364
1182,4066.9763
1183,4062.5808
1184,4058.18
1185,4053.7747
1186,4049.3665
1187,4044.9573
1188,4040.5474
1189,4036.1392
1190,3831.1882
1191,3826.9722
1192,3822.7705
1193,3818.5818
1194,3814.406
1195,3810.242
