,losses
0,2305.61
1,2271.1086
2,2236.934
3,2203.0933
4,2169.591
5,2136.4326
6,2103.6255
7,2071.1719
8,2039.0743
9,2007.3354
10,1778.2528
11,1749.9581
12,1722.065
13,1694.5636
14,1667.4459
15,1640.7034
16,1614.3312
17,1588.3229
18,1562.6733
19,1537.3798
20,1516.147
21,1491.6388
22,1467.4446
23,1443.57
24,1420.0189
25,1396.7969
26,1373.9064
27,1351.3445
28,1329.1135
29,1307.2114
30,1410.2084
31,1387.34
32,1364.6757
33,1342.2345
34,1320.0322
35,1298.0848
36,1276.4054
37,1255.0013
38,1233.8839
39,1213.0568
40,1114.7963
41,1094.3453
42,1074.1453
43,1054.2098
44,1034.5491
45,1015.1723
46,996.0882
47,977.3042
48,958.8232
49,940.65045
50,1044.6411
51,1025.7076
52,1007.00714
53,988.55115
54,970.35657
55,952.43445
56,934.7931
57,917.4399
58,900.38196
59,883.6243
60,610.3088
61,597.865
62,585.8447
63,574.2247
64,562.9815
65,552.09576
66,541.548
67,531.3211
68,521.39954
69,511.76846
70,767.5686
71,755.62634
72,743.7614
73,731.99097
74,720.3302
75,708.79205
76,697.38684
77,686.124
78,675.0157
79,664.0685
80,587.9447
81,577.8589
82,567.9743
83,558.289
84,548.80023
85,539.50775
86,530.40894
87,521.50146
88,512.7825
89,504.2494
90,443.19662
91,435.65677
92,428.30637
93,421.14026
94,414.1532
95,407.34137
96,400.69916
97,394.22144
98,387.90475
99,381.74573
100,471.13425
101,465.01083
102,458.9989
103,453.10007
104,447.31516
105,441.64453
106,436.08835
107,430.64645
108,425.3199
109,420.10785
110,421.72437
111,416.33762
112,411.0285
113,405.80096
114,400.6572
115,395.60034
116,390.63232
117,385.75467
118,380.96863
119,376.27533
120,360.19327
121,355.6266
122,351.11682
123,346.6701
124,342.29126
125,337.98364
126,333.75085
127,329.5955
128,325.51968
129,321.52505
130,371.5772
131,367.45276
132,363.37863
133,359.36017
134,355.40195
135,351.5074
136,347.67996
137,343.92203
138,340.23563
139,336.62296
140,3103924.2
141,3103441.8
142,3102708.0
143,3101814.8
144,3100808.5
145,3099717.8
146,3098562.0
147,3097356.8
148,3096112.0
149,3094838.2
150,1448858.8
151,1448350.5
152,1447856.6
153,1447375.1
154,1446905.0
155,1446444.9
156,1445993.5
157,1445550.0
158,1445113.2
159,1444682.9
160,5000861.0
161,4999090.0
162,4997166.0
163,4995125.0
164,4992995.0
165,4990794.0
166,4988540.5
167,4986246.0
168,4983922.5
169,4981577.0
170,1106789.9
171,1106284.6
172,1105812.2
173,1105369.4
174,1104953.4
175,1104561.1
176,1104190.4
177,1103839.1
178,1103505.2
179,1103187.4
180,1124819.2
181,1124517.5
182,1124226.4
183,1123945.0
184,1123672.4
185,1123407.6
186,1123150.0
187,1122898.6
