avg,lbound,ubound,sums
-44.7689530460422,-93.2436092199329,3.70570312784847,-8953.79060920845
-45.2888393775225,-93.815837809236,3.23815905419097,-9057.7678755045
-46.8030391147778,-95.9100459911657,2.30396776161021,-9360.60782295555
-53.6837414170176,-103.40109041573,-3.96639241830498,-10736.7482834035
-37.128231774545,-84.8107312285469,10.5542676794569,-7425.646354909
-41.3741926841425,-90.7865218795284,8.03813651124339,-8274.8385368285
-44.1145455577003,-93.1601364367865,4.93104532138598,-8822.90911154005
-36.6445091338605,-84.1755769789681,10.8865587112471,-7328.90182677211
-59.1271685101601,-108.174311034096,-10.0800259862237,-11825.433702032
-46.7818950743996,-96.422925543109,2.85913539430975,-9356.37901487993
-52.6070891499417,-103.484328287641,-1.7298500122421,-10521.4178299883
-59.4854882015941,-107.693845636066,-11.277130767122,-11897.0976403188
-55.3366349685592,-105.250537650064,-5.42273228705447,-11067.3269937118
-54.4777746985159,-104.316376063641,-4.63917333339133,-10895.5549397032
-48.9375359003395,-98.0064934551791,0.13142165450018,-9787.50718006789
-53.4452618899056,-103.409044194433,-3.48147958537837,-10689.0523779811
-41.258921946185,-90.2357518807903,7.71790798842041,-8251.78438923699
-56.5422023427286,-106.08707050676,-6.99733417869742,-11308.4404685457
-33.843617337451,-80.2936523217501,12.6064176468482,-6768.7234674902
-50.5944746145883,-100.598097011495,-0.590852217681714,-10118.8949229177
-51.4757801967647,-101.497980062615,-1.45358033091474,-10295.1560393529
-40.0609893309744,-89.0305258020009,8.90854714005216,-8012.19786619487
-47.7897923138575,-96.5959667520432,1.01638212432817,-9557.9584627715
-57.2304573633126,-106.288763949589,-8.17215077703638,-11446.0914726625
-61.5832821373366,-109.635988754974,-13.5305755196995,-12316.6564274673
-50.4709517073685,-101.607850432762,0.665947018025008,-10094.1903414737
-38.3882339670384,-86.0063146468719,9.22984671279514,-7677.64679340768
-63.7673656100311,-112.088572920813,-15.4461582992488,-12753.4731220062
-50.5298758973193,-100.525677224877,-0.534074569761621,-10105.9751794639
-63.4954340309108,-111.135735763247,-15.8551322985743,-12699.0868061822
-63.2994233248758,-111.21118433729,-15.3876623124616,-12659.8846649752
-63.8006110393292,-111.122762231305,-16.478459847353,-12760.1222078658
-51.8329691952997,-100.986286538117,-2.67965185248208,-10366.59383906
-64.8574586425136,-112.762281686315,-16.9526355987125,-12971.4917285027
-34.2833749474162,-80.9498548388202,12.3831049439879,-6856.67498948324
-37.0775957887604,-83.2926492014473,9.13745762392661,-7415.51915775207
-63.5025277545336,-111.661102494104,-15.3439530149635,-12700.5055509067
-62.5031241598686,-109.459785412842,-15.5464629068948,-12500.6248319737
-56.6301171029139,-106.593257785333,-6.66697642049432,-11326.0234205828
-69.1923706154022,-115.723595228922,-22.6611460018826,-13838.4741230804
-46.7431227312479,-96.4097502316686,2.92350476917283,-9348.62454624958
-63.4660059076021,-111.672524167027,-15.2594876481768,-12693.2011815204
-13.3826880157727,-46.2499864405652,19.4846104090197,-2676.53760315455
-50.9803891744071,-99.5279306545656,-2.43284769424849,-10196.0778348814
-60.0606951856904,-108.991957387039,-11.1294329843422,-12012.1390371381
-53.7844065807637,-103.883044968411,-3.68576819311676,-10756.8813161527
-47.8123613500545,-96.5160227925532,0.891300092444332,-9562.47227001089
-45.0093239935662,-95.8423470196078,5.82369903247541,-9001.86479871323
-25.557487399302,-66.3159309238533,15.2009561252493,-5111.4974798604
-54.3885740029441,-103.82843993072,-4.94870807516815,-10877.7148005888
-63.7934076483237,-112.084635086768,-15.5021802098794,-12758.6815296647
-35.9875723646161,-83.5022240847645,11.5270793555323,-7197.51447292323
-40.989006378683,-88.694797919573,6.71678516220699,-8197.80127573661
-56.12105207641,-104.64910323147,-7.59300092134991,-11224.210415282
-49.9711381126881,-100.872024345107,0.929748119730448,-9994.22762253762
-58.9964081752064,-107.726952656555,-10.2658636938578,-11799.2816350413
-61.9546387330509,-109.070833894174,-14.8384435719275,-12390.9277466102
-55.1732428199752,-104.240408704443,-6.10607693550777,-11034.648563995
-55.6282423601051,-105.930637040184,-5.32584768002641,-11125.648472021
-54.0171533896595,-103.85747072895,-4.17683605036856,-10803.4306779319
-28.2969331834836,-72.4825784513683,15.888712084401,-5659.38663669673
-47.6178789468048,-95.9953527996563,0.7595949060468,-9523.57578936095
-57.4768919843139,-106.953130963193,-8.00065300543489,-11495.3783968628
-59.2179615641941,-107.662452671057,-10.7734704573311,-11843.5923128388
-33.5859214609775,-80.2419325772691,13.0700896553141,-6717.1842921955
-56.2770534025087,-104.635109099788,-7.91899770522975,-11255.4106805017
