,losses
0,2.5142322e-08
1,-0.0014376829
2,-0.002533241
3,-0.0028866653
4,-0.003452565
5,-0.0042356076
6,-0.0049077603
7,-0.005396471
8,-0.0057828263
9,-0.006152016
10,-1.300465e-09
11,-0.0002995309
12,-0.00094717415
13,-0.0018416842
14,-0.0027409873
15,-0.003583625
16,-0.0041423254
17,-0.004282948
18,-0.004400255
19,-0.004755181
20,-2.2541393e-08
21,-0.0003472714
22,-0.0010448495
23,-0.002013543
24,-0.0032075548
25,-0.004568362
26,-0.006043351
27,-0.007278392
28,-0.008166914
29,-0.008674207
30,1.8986789e-07
31,-0.0003549593
32,-0.00090738124
33,-0.0015857454
34,-0.0022035092
35,-0.00256272
36,-0.0029211643
37,-0.0032291724
38,-0.0035333582
39,-0.003934256
40,5.5486506e-08
41,-0.00010360458
42,-0.00042532402
43,-0.00093673967
44,-0.0016182852
45,-0.002406749
46,-0.003145475
47,-0.00374959
48,-0.004020342
49,-0.004035274
50,4.594976e-08
51,-8.734009e-05
52,-0.00037808332
53,-0.00085186353
54,-0.0014362924
55,-0.0020047647
56,-0.0022853427
57,-0.0023305216
58,-0.002239033
59,-0.0022785629
60,-9.970232e-09
61,-0.00017027855
62,-0.0004242756
63,-0.00075218914
64,-0.0011428929
65,-0.0015836298
66,-0.0020685426
67,-0.0025936626
68,-0.0031315375
69,-0.0036685301
70,-2.2129579e-07
71,-0.00032223007
72,-0.00094766205
73,-0.0018367837
74,-0.0029581352
75,-0.0042636124
76,-0.0054057753
77,-0.0061350404
78,-0.0062189684
79,-0.0059059365
80,3.8146972e-08
81,-0.00045285746
82,-0.0009775994
83,-0.0015649293
84,-0.0021993502
85,-0.0026952191
86,-0.0027269456
87,-0.0026483038
88,-0.002745732
89,-0.0029616705
90,-6.892464e-08
91,-0.0005816516
92,-0.0016820487
93,-0.0032526169
94,-0.00485613
95,-0.005125313
96,-0.004652516
97,-0.0039895363
98,-0.0040170704
99,-0.0047711404
100,5.7870693e-08
101,-0.0005014779
102,-0.0013119533
103,-0.0023848882
104,-0.0031882173
105,-0.0030701617
106,-0.0025375506
107,-0.0024103879
108,-0.0029789777
109,-0.0039919494
110,-4.2590226e-08
111,-0.00015241916
112,-0.0004818329
113,-0.00094429863
114,-0.0014391422
115,-0.0017100942
116,-0.0018877827
117,-0.0021113174
118,-0.0025782282
119,-0.003216501
120,-6.426465e-08
121,3.4032953e-05
122,-8.5071864e-05
123,-0.0003399293
124,-0.0007142222
125,-0.0011938948
126,-0.0017067875
127,-0.002211255
128,-0.0027491574
