,losses
0,1314.2305
1,1310.0835
2,1305.9597
3,1301.8591
4,1297.7836
5,1293.7324
6,1289.7078
7,1285.7095
8,1281.737
9,1277.7911
10,1021.4765
11,1018.07635
12,1014.71533
13,1011.39185
14,1008.10443
15,1004.8502
16,1001.6257
17,998.431
18,995.26605
19,992.12854
20,982.7984
21,979.64056
22,976.49866
23,973.37213
24,970.26025
25,967.16296
26,964.0799
27,961.0103
28,957.9544
29,954.9116
30,1079.1239
31,1075.6364
32,1072.1255
33,1068.5992
34,1065.0625
35,1061.5208
36,1057.9788
37,1054.4401
38,1050.9086
39,1047.3857
40,1276.72
41,1273.126
42,1269.531
43,1265.936
44,1262.3439
45,1258.7567
46,1255.1759
47,1251.6028
48,1248.0377
49,1244.4814
50,1227.065
51,1223.4712
52,1219.8872
53,1216.3147
54,1212.755
55,1209.2087
56,1205.6768
57,1202.1604
58,1198.6595
59,1195.176
60,1425.167
61,1421.3357
62,1417.4882
63,1413.6289
64,1409.7609
65,1405.887
66,1402.0117
67,1398.1368
68,1394.2637
69,1390.3938
70,943.58514
71,940.4708
72,937.40234
73,934.3762
74,931.3888
75,928.4363
76,925.51526
77,922.62305
78,919.75714
79,916.91516
80,1179.1602
81,1176.0343
82,1172.9005
83,1169.7604
84,1166.6157
85,1163.4684
86,1160.32
87,1157.1707
88,1154.0219
89,1150.8732
90,1160.4664
91,1157.1519
92,1153.8115
93,1150.449
94,1147.068
95,1143.6714
96,1140.2632
97,1136.8447
98,1133.42
99,1129.9915
100,979.2874
101,976.2525
102,973.24365
103,970.25806
104,967.2947
105,964.3523
106,961.42896
107,958.5235
108,955.63477
109,952.76117
110,995.1134
111,992.19714
112,989.2827
113,986.37067
114,983.46173
115,980.5559
116,977.65295
117,974.7529
118,971.8559
119,968.9618
120,1118.3534
121,1115.2744
122,1112.1816
123,1109.0765
124,1105.9615
125,1102.8378
126,1099.705
127,1096.563
128,1093.4125
129,1090.255
130,876.9221
131,874.13617
132,871.3656
133,868.61
134,865.8688
135,863.1384
136,860.42004
137,857.7133
138,855.01807
139,852.33453
140,939.71423
141,936.7231
142,933.69806
143,930.64453
144,927.5661
145,924.46735
146,921.35156
147,918.2216
148,915.0798
149,911.928
150,713.7971
151,711.37683
152,708.98395
153,706.61584
154,704.27026
155,701.9447
156,699.6377
157,697.3478
158,695.0732
159,692.8127
160,815.82623
161,813.37115
162,810.90936
163,808.4418
164,805.97
165,803.4942
166,801.0155
167,798.535
168,796.0531
169,793.5701
170,778.99384
171,776.42554
172,773.83344
173,771.2214
174,768.59357
175,765.95374
176,763.3047
177,760.6495
178,757.9898
179,755.3275
180,846.55963
181,843.7069
182,840.8339
183,837.9435
184,835.0381
185,832.1196
186,829.18976
187,826.25037
188,823.3026
189,820.34827
190,733.5097
191,730.85394
192,728.2128
193,725.58545
194,722.9704
195,720.36664
196,717.7732
197,715.1891
198,712.6139
199,710.0463
200,677.26245
201,674.93176
202,672.6018
203,670.27466
204,667.95166
205,665.63306
206,663.32
207,661.0128
208,658.7115
209,656.4159
210,654.82056
211,652.62103
212,650.4246
213,648.23126
214,646.0403
215,643.85254
216,641.66766
217,639.4856
218,637.30695
219,635.1315
220,896.49304
221,893.7623
222,890.9465
223,888.05865
224,885.1092
225,882.10724
226,879.06024
227,875.9755
228,872.8596
229,869.7177
230,496.74915
231,494.78125
232,492.8324
233,490.9009
234,488.98517
235,487.08374
236,485.19592
237,483.32034
238,481.4566
239,479.60382
240,580.6986
241,578.58624
242,576.4483
243,574.288
244,572.1079
245,569.91016
246,567.6971
247,565.471
248,563.2339
249,560.9874
250,846.86566
251,843.7817
252,840.49207
253,837.0326
254,833.4362
255,829.73065
256,825.94
257,822.0852
258,818.1854
259,814.2562
260,691.60925
261,688.41003
262,685.2279
263,682.0604
264,678.9062
265,675.764
266,672.63226
267,669.51044
268,666.39716
269,663.2923
270,616.8345
271,614.04065
272,611.25824
273,608.48627
274,605.7239
275,602.9704
276,600.2255
277,597.4889
278,594.76056
279,592.0404
280,634.7342
281,631.9708
282,629.19476
283,626.4083
284,623.6132
285,620.8121
286,618.00684
287,615.19946
288,612.39166
289,609.58453
290,720.172
291,717.01904
292,713.8335
293,710.62
294,707.3828
295,704.12634
296,700.8544
297,697.5698
298,694.2759
299,690.9749
300,637.92975
301,635.02466
302,632.1161
303,629.20605
304,626.29694
305,623.3895
306,620.48535
307,617.5853
308,614.6906
309,611.8021
310,526.6601
311,524.06537
312,521.4584
313,518.8429
314,516.2213
315,513.5952
316,510.96652
317,508.33762
318,505.71164
319,503.09058
320,614.07697
321,610.9785
322,607.7866
323,604.5259
324,601.2181
325,597.88104
326,594.5308
327,591.18134
328,587.843
329,584.5249
330,406.83237
331,405.19724
332,403.52936
333,401.82446
334,400.0826
335,398.30646
336,396.5002
337,394.6693
338,392.81964
339,390.95746
340,754.94635
341,752.28174
342,749.4102
343,746.3532
344,743.1327
345,739.77094
346,736.29
347,732.70984
348,729.0503
349,725.3284
350,611.52686
351,608.1931
352,604.8718
353,601.5645
354,598.2724
355,594.9968
356,591.73804
357,588.4964
358,585.2719
359,582.0647
360,800.32605
361,796.12164
362,791.7959
363,787.3711
364,782.866
