,losses
399,9179158.0
400,8781914.0
401,8779286.0
402,8776695.0
403,8774137.0
404,8771605.0
405,8769098.0
406,8766611.0
407,8764141.0
408,8761685.0
409,8759237.0
410,9735816.0
411,9734228.0
412,9732661.0
413,9731114.0
414,9729583.0
415,9728065.0
416,9726563.0
417,9725069.0
418,9723584.0
419,9722106.0
420,10644787.0
421,10642927.0
422,10641039.0
423,10639124.0
424,10637185.0
425,10635221.0
426,10633236.0
427,10631230.0
428,10629204.0
429,10627159.0
430,5927315.5
431,5926293.5
432,5925310.5
433,5924360.5
434,5923440.5
435,5922549.0
436,5921681.0
437,5920833.5
438,5920006.5
439,5919195.5
440,9063173.0
441,9061887.0
442,9060563.0
443,9059207.0
444,9057819.0
445,9056403.0
446,9054959.0
447,9053492.0
448,9052002.0
449,9050491.0
450,8078448.5
451,8077104.5
452,8075743.5
453,8074366.5
454,8072976.0
455,8071572.0
456,8070155.0
457,8068725.5
458,8067284.0
459,8065832.0
460,7513073.0
461,7511314.0
462,7509508.0
463,7507659.5
464,7505770.0
465,7503844.5
466,7501886.0
467,7499895.0
468,7497874.0
469,7495827.0
470,10982946.0
471,10979706.0
472,10976230.0
473,10972544.0
474,10968671.0
475,10964624.0
476,10960424.0
477,10956085.0
478,10951617.0
479,10947033.0
480,8312283.0
481,8309257.5
482,8306268.0
483,8303308.0
484,8300374.5
485,8297463.5
486,8294571.5
487,8291696.5
488,8288833.0
489,8285981.0
490,10907657.0
491,10904448.0
492,10901140.0
493,10897745.0
494,10894273.0
495,10890732.0
496,10887131.0
497,10883473.0
498,10879766.0
499,10876012.0
500,9407681.0
501,9404452.0
502,9401227.0
503,9398001.0
504,9394774.0
505,9391543.0
506,9388309.0
507,9385070.0
508,9381827.0
509,9378576.0
510,12747811.0
511,12743762.0
512,12739484.0
513,12735018.0
514,12730383.0
515,12725604.0
516,12720696.0
517,12715676.0
518,12710556.0
519,12705347.0
520,5462718.0
521,5460137.5
522,5457608.0
523,5455126.5
524,5452686.0
525,5450283.5
526,5447913.5
527,5445573.5
528,5443259.5
529,5440968.0
530,5020213.0
531,5018218.0
532,5016250.0
533,5014306.0
534,5012382.5
535,5010476.5
536,5008585.0
537,5006707.0
538,5004840.5
539,5002982.5
540,6965056.0
541,6962323.0
542,6959500.0
543,6956596.0
544,6953620.5
545,6950580.5
546,6947482.0
547,6944331.0
548,6941132.5
549,6937889.0
550,6453055.0
551,6450682.5
552,6448306.5
553,6445924.5
554,6443538.0
555,6441145.5
556,6438747.5
557,6436343.5
558,6433932.5
559,6431514.0
560,2247203.8
561,2246227.0
562,2245295.5
563,2244404.8
564,2243550.8
565,2242729.8
566,2241937.8
567,2241173.0
568,2240431.5
569,2239711.8
570,5560137.0
571,5558593.5
572,5556938.0
573,5555179.0
574,5553327.5
575,5551392.0
576,5549379.0
577,5547296.5
578,5545150.5
579,5542945.5
580,8887861.0
581,8884859.0
582,8881705.0
583,8878414.0
584,8874998.0
585,8871470.0
586,8867837.0
587,8864111.0
588,8860297.0
589,8856404.0
590,4762878.5
591,4760787.5
592,4758754.0
593,4756771.5
594,4754834.0
595,4752938.5
596,4751078.0
597,4749249.5
598,4747449.5
599,4745674.0
600,2225426.8
601,2224450.2
602,2223508.8
603,2222598.2
604,2221715.5
605,2220858.0
606,2220022.8
607,2219207.8
608,2218410.0
609,2217628.5
610,6156869.0
611,6155395.5
612,6153845.0
613,6152225.5
614,6150543.5
615,6148804.5
616,6147014.5
617,6145176.0
618,6143295.0
619,6141374.5
620,2417130.0
621,2416127.2
622,2415141.8
623,2414171.8
624,2413216.0
625,2412272.0
626,2411339.2
627,2410415.8
628,2409501.0
629,2408593.8
630,5113452.5
631,5111954.5
632,5110350.0
633,5108651.5
634,5106865.0
635,5105000.5
636,5103065.0
637,5101064.0
638,5099004.5
639,5096891.0
640,2036818.6
641,2035986.1
642,2035168.6
643,2034364.5
644,2033572.2
645,2032790.4
646,2032017.5
647,2031253.0
648,2030495.4
649,2029744.6
650,3069561.0
651,3068480.8
652,3067370.0
653,3066232.5
654,3065069.5
655,3063884.0
656,3062677.8
657,3061451.5
658,3060208.2
659,3058948.8
660,4550656.0
661,4549263.5
662,4547831.5
663,4546366.0
664,4544869.0
665,4543343.0
666,4541791.0
667,4540214.5
668,4538614.5
669,4536995.0
670,5450380.0
671,5448613.0
672,5446792.5
673,5444923.5
674,5443010.5
675,5441056.5
676,5439067.0
677,5437043.5
678,5434989.5
679,5432906.5
680,5119473.5
681,5117603.0
682,5115720.5
683,5113826.0
684,5111920.5
685,5110004.5
686,5108078.0
687,5106141.5
688,5104196.5
689,5102241.5
690,5279673.5
691,5277576.5
692,5275455.5
693,5273312.0
694,5271147.0
695,5268962.0
696,5266758.5
697,5264539.0
698,5262302.5
699,5260050.5
700,3043114.5
701,3041726.8
702,3040372.8
703,3039049.8
704,3037753.8
705,3036481.5
706,3035230.5
707,3033998.8
708,3032783.2
709,3031582.8
710,4664976.0
711,4663384.0
712,4661761.0
713,4660107.0
714,4658427.0
715,4656722.0
716,4654994.5
717,4653246.0
718,4651478.0
719,4649691.5
720,9787552.0
721,9784248.0
722,9780702.0
723,9776941.0
724,9772982.0
725,9768849.0
726,9764561.0
727,9760128.0
728,9755570.0
729,9750895.0
730,3918210.2
731,3914888.8
732,3911561.2
733,3908227.8
734,3904888.5
735,3901542.8
736,3898190.8
737,3894832.0
738,3891465.8
739,3888093.0
740,6731284.5
741,6727582.5
742,6723842.0
743,6720061.5
744,6716248.5
745,6712402.5
746,6708526.0
747,6704622.5
748,6700693.0
749,6696739.5
750,10629449.0
751,10621334.0
752,10612491.0
753,10603018.0
754,10592991.0
755,10582479.0
756,10571538.0
757,10560223.0
758,10548576.0
759,10536635.0
760,6460678.0
761,6454922.5
762,6449303.5
763,6443806.0
764,6438417.0
765,6433125.0
766,6427920.0
767,6422789.5
768,6417727.5
769,6412725.0
770,4634631.0
771,4630832.5
772,4627133.0
773,4623521.5
774,4619990.0
775,4616529.0
776,4613130.5
777,4609789.0
778,4606497.0
779,4603249.0
780,4896322.5
781,4893013.5
782,4889691.5
783,4886357.0
784,4883011.5
785,4879654.5
786,4876288.5
787,4872911.5
788,4869526.0
789,4866131.5
790,1780780.1
